Invoice Number：CUS260505001202607002    Invoice Period：07/16/2026-07/31/2026   Invoicing currency：USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"payable amount：133,101.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer ID,Customer Name,Tracking Number,Order Number,A-scan Date,Delivery Date,Reference1,Reference2,Product,Prealerted Hub,Injection Hub,Destination State,Zip Code,Zone,Actual weight (lbs),Invoicing weight (lbs),Dimensions (inch),Delivery Fee,Overweight Fees,Oversized Fees,Return Fees,Remote Area Fees,Fuel Surcharges,Delivery Area Fees,Additional Interception Fees,Relabelling Fee,Return Reship FEE,Credit for Delivery Fees,Credit for Order Value,Other,Total,Remarks
CUS260505001,Manifest Commerce Inc.,GFUS01058535401665,GFUS01058535401665,06/25/2026,07/23/2026,,,GOFO Parcel Pickup,IAH,IAH,Kentucky,40220,5,0.95,0.95,8.000*4.500*4.000,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.45,
CUS260505001,Manifest Commerce Inc.,GFUS01058737902145,GFUS01058737902145,06/26/2026,07/17/2026,,,GOFO Parcel Pickup,IAH,IAH,New mexico,87110,4,2.24,2.24,12.000*9.000*6.500,3.41,0,0,0,0,0,0,0,0,0,0,0,0,3.41,
CUS260505001,Manifest Commerce Inc.,GFUS01058741119168,GFUS01058741119168,07/23/2026,07/26/2026,,,GOFO Parcel Pickup,IAH,IAH,Indiana,47909,5,2.37,2.37,12.000*9.000*6.500,3.53,0,0,0,0,0,0,0,0,0,0,0,0,3.53,
CUS260505001,Manifest Commerce Inc.,GFUS01058741225473,GFUS01058741225473,07/23/2026,07/26/2026,,,GOFO Parcel Pickup,IAH,IAH,Michigan,49503,5,1.74,1.74,12.000*9.000*4.500,3.53,0,0,0,0,0,0,0,0,0,0,0,0,3.53,
CUS260505001,Manifest Commerce Inc.,GFUS01059132293121,GFUS01059132293121,07/23/2026,07/27/2026,,,GOFO Parcel Pickup,IAH,IAH,North Carolina,28555,6,2.5,2.5,10.000*10.000*4.630,3.84,0,0,0,0,0,0,0,0,0,0,0,0,3.84,
CUS260505001,Manifest Commerce Inc.,GFUS01059428338112,GFUS01059428338112,07/23/2026,07/26/2026,,,GOFO Parcel Pickup,IAH,IAH,Wisconsin,53209,5,0.24,0.24,11.000*9.000*1.500,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,
CUS260505001,Manifest Commerce Inc.,GFUS01059428338752,GFUS01059428338752,07/23/2026,07/27/2026,,,GOFO Parcel Pickup,IAH,IAH,Connecticut,06096,7,0.24,0.24,11.000*9.000*1.500,3.4,0,0,0,0,0,0,0,0,0,0,0,0,3.4,
CUS260505001,Manifest Commerce Inc.,GFUS01059428339904,GFUS01059428339904,07/23/2026,07/26/2026,,,GOFO Parcel Pickup,IAH,IAH,Michigan,48217,5,0.24,0.24,11.000*9.000*1.500,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,
CUS260505001,Manifest Commerce Inc.,GFUS01059428357443,GFUS01059428357443,07/23/2026,07/26/2026,,,GOFO Parcel Pickup,IAH,IAH,New York,11050,6,0.24,0.24,11.000*9.000*1.500,3.26,0,0,0,0,0,0,0,0,0,0,0,0,3.26,
CUS260505001,Manifest Commerce Inc.,GFUS01059428363587,GFUS01059428363587,07/23/2026,07/27/2026,,,GOFO Parcel Pickup,IAH,IAH,Idaho,83642,6,0.24,0.24,11.000*9.000*1.500,3.26,0,0,0,0,0,0,0,0,0,0,0,0,3.26,
CUS260505001,Manifest Commerce Inc.,GFUS01059459866816,GFUS01059459866816,07/23/2026,07/28/2026,,,GOFO Parcel Pickup,IAH,IAH,Wyoming,82007,5,0.98,0.98,13.000*10.000*1.500,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.45,
CUS260505001,Manifest Commerce Inc.,GFUS01059773825026,GFUS01059773825026,07/03/2026,07/03/2026,,,,,,Florida,34210,,0.17,0.17,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-17.49,0,-17.49,
CUS260505001,Manifest Commerce Inc.,GFUS01059780501954,GFUS01059780501954,07/03/2026,07/03/2026,,,,,,Florida,33982,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059780588096,GFUS01059780588096,07/03/2026,07/03/2026,,,,,,Florida,34119,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059780597763,GFUS01059780597763,07/03/2026,07/03/2026,,,,,,Florida,34266,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059780606529,GFUS01059780606529,07/03/2026,07/03/2026,,,,,,Florida,33410,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059789608065,GFUS01059789608065,07/02/2026,07/02/2026,,,,,,Florida,33313,,0.95,0.95,8.000*4.500*4.000,0,0,0,0,0,0,0,0,0,0,0,-52.48,0,-52.48,
CUS260505001,Manifest Commerce Inc.,GFUS01059790414019,GFUS01059790414019,07/03/2026,07/03/2026,,,,,,Florida,33432,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059790419072,GFUS01059790419072,07/03/2026,07/03/2026,,,,,,Florida,33990,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-44.08,0,-44.08,
CUS260505001,Manifest Commerce Inc.,GFUS01059790449217,GFUS01059790449217,07/03/2026,07/03/2026,,,,,,Florida,33967,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059791518274,GFUS01059791518274,07/03/2026,07/03/2026,,,,,,Florida,33135,,0.75,0.75,6.000*4.500*4.000,0,0,0,0,0,0,0,0,0,0,0,-20.99,0,-20.99,
CUS260505001,Manifest Commerce Inc.,GFUS01059801377859,GFUS01059801377859,07/03/2026,07/16/2026,,,GOFO Parcel Pickup,IAH,IAH,Maryland,21060,6,0.17,0.17,13.000*10.000*1.500,3.21,0,0,0,0,0,0,0,0,0,0,0,0,3.21,
CUS260505001,Manifest Commerce Inc.,GFUS01059809325248,GFUS01059809325248,07/03/2026,07/03/2026,,,,,,Florida,33914,,0.62,0.62,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-41.98,0,-41.98,
CUS260505001,Manifest Commerce Inc.,GFUS01059831692416,GFUS01059831692416,07/03/2026,07/03/2026,,,,,,Florida,33462,,3.37,3.37,13.000*9.500*9.000,0,0,0,0,0,0,0,0,0,0,0,-84,0,-84,
CUS260505001,Manifest Commerce Inc.,GFUS01059833746945,GFUS01059833746945,07/03/2026,07/03/2026,,,,,,Florida,34236,,1.59,1.59,12.000*9.000*6.500,0,0,0,0,0,0,0,0,0,0,0,-49,0,-49,
CUS260505001,Manifest Commerce Inc.,GFUS01059834813504,GFUS01059834813504,07/03/2026,07/03/2026,,,,,,Florida,33955,,1.66,1.66,12.000*9.000*6.500,0,0,0,0,0,0,0,0,0,0,0,-24.5,0,-24.5,
CUS260505001,Manifest Commerce Inc.,GFUS01059835827460,GFUS01059835827460,07/03/2026,07/03/2026,,,,,,Florida,34112,,0.15,0.15,10.000*6.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-17.49,0,-17.49,
CUS260505001,Manifest Commerce Inc.,GFUS01059836026176,GFUS01059836026176,07/03/2026,07/03/2026,,,,,,Florida,33433,,0.85,0.85,6.000*4.500*4.000,0,0,0,0,0,0,0,0,0,0,0,-31.48,0,-31.48,
CUS260505001,Manifest Commerce Inc.,GFUS01059836548160,GFUS01059836548160,07/03/2026,07/03/2026,,,,,,Florida,33190,,0.53,0.53,6.000*4.500*4.000,0,0,0,0,0,0,0,0,0,0,0,-52.48,0,-52.48,
CUS260505001,Manifest Commerce Inc.,GFUS01059837440577,GFUS01059837440577,07/03/2026,07/03/2026,,,,,,Florida,34953,,0.15,0.15,10.000*6.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-17.49,0,-17.49,
CUS260505001,Manifest Commerce Inc.,GFUS01059839887361,GFUS01059839887361,07/03/2026,07/03/2026,,,,,,Florida,33305,,1.03,1.03,13.000*10.000*1.500,0,0,0,0,0,0,0,0,0,0,0,-70,0,-70,
CUS260505001,Manifest Commerce Inc.,GFUS01059843378689,GFUS01059843378689,07/03/2026,07/03/2026,,,,,,Florida,33068,,3.1,3.1,12.000*9.000*4.500,0,0,0,0,0,0,0,0,0,0,0,-47.01,0,-47.01,
CUS260505001,Manifest Commerce Inc.,GFUS01059844627584,GFUS01059844627584,07/03/2026,07/03/2026,,,,,,Florida,33324,,1.66,1.66,8.000*6.000*4.500,0,0,0,0,0,0,0,0,0,0,0,-62.96,0,-62.96,
CUS260505001,Manifest Commerce Inc.,GFUS01059845433536,GFUS01059845433536,07/03/2026,07/03/2026,,,,,,Florida,34996,,4.78,4.78,13.000*9.500*9.000,0,0,0,0,0,0,0,0,0,0,0,-81.2,0,-81.2,
